Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2009 [YR2009]
Central African Republic,CAF,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.11183802729657,2.17343354360448,2.2416399080172,2.30940527035522,2.37510746293265,2.43624677249421,2.47886962803808,..,..,..,2.01947740236353,2.03382401856965,2.05163905809088,2.07329479241596,2.00761741599373
Central African Republic,CAF,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,7.19424460431655,8.57142857142857,8.57142857142857,8.57142857142857,8.57142857142857,12.8571428571429,12.8571428571429,..,9.61538461538462,12.5,12.5,..,9.61538461538462
Central African Republic,CAF,Population density (people per sq. km of land area),EN.POP.DNST,7.70287007608591,7.73593534302867,7.87212591094417,8.02070852996886,8.17807955311567,8.36194420366625,8.5765514141706,8.7597579376545,..,..,7.48028347619506,7.59578477639732,7.66205335644804,7.7087996404379,7.32694468522264
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.69919323921204,-1.89358747005463,-1.77954876422882,-1.99353218078613,-2.1720871925354,-2.13577795028687,-2.23620891571045,-2.1267397403717,-2.16247296333313,..,-2.0206253528595,-1.78938913345337,-1.85292291641235,-2.15489673614502,-1.90398991107941
Central African Republic,CAF,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,99.4152046783626,99.4152046783626,..,..,..,..,..,..,..,..,84.375,84.4827586206897,84.6590909090909,99.2805755395683,85
Central African Republic,CAF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,94.82,92.86,92.11,91.58,91.42,91.26,90.88,90.45,..,..,93.84,93.33,93.07,95.08,93.91
Central African Republic,CAF,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,80.0312408722045,79.9226232003552,80.1841325550935,80.5092096535538,80.8873982282759,81.2953800681103,81.295813386266,81.6871038137795,81.2128219952464,81.352516877583,81.146709470305,80.7488135896747,80.4289612608707,80.1951480148078,81.1262614590555
Central African Republic,CAF,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.70606768131256,-1.71096646785736,-1.85057771205902,-1.76183152198792,-1.71663010120392,-1.76445817947388,-1.75173819065094,-1.68893265724182,-1.70115745067596,..,-1.31199896335602,-1.30544543266296,-1.43880379199982,-1.80894291400909,-1.32386815547943
Central African Republic,CAF,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,6,6,6,6,6,6,..,..,..,..,..,..,..,6,..
Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.43209648132324,7.7,9.24529838562012,10.9,10.0588064193726,8.4,10.8656768798828,11.2685585021973,..,..,6.4,8.98,7.79170989990234,8.09024047851563,6.29969644546509
Chad,TCD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,3.8,4.2,4.7,5.2,5.89999999999999,6.6,7.3,8,..,..,2.7,2.9,3.1,3.5,2.6
Chad,TCD,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,9.9129269048284,9.09258925137666,9.93192381194913,11.3538334802234,13.1987586936116,12.7559300075348,10.0655903105299,13.5399233993788,..,..,15.4237448558378,17.3480517299504,14.9017400569737,12.1544853527207,12.8383546037082
Chad,TCD,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,4.32295534200723,5.60569575021739,6.21332662051505,6.13175488900085,3.9310845768138,3.62549833424551,4.3329735629316,3.96481088683242,..,..,3.6920106122663,3.68195674906638,4.17641190810554,4.27401424095662,4.32274583299714
Chad,TCD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,25.4677805419333,30.4630058696324,26.9708556149733,32.8122227117827,27.9969936355033,24.1353926658466,27.0640822928476,25.3036076848784,22.5951024858583,..,27.7134308623469,22.8083346133683,24.5807748974276,22.9155705775128,26.9987074953282
Chad,TCD,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,..,..,..,..,..,..,..,0.53,..,..,..,..,..,..
Chad,TCD,Control of Corruption: Estimate,CC.EST,-1.32900524139404,-1.38144493103027,-1.51160538196564,-1.45800268650055,-1.4041200876236,-1.41705894470215,-1.42478811740875,-1.49575436115265,-1.48808419704437,..,-1.39423859119415,-1.35516083240509,-1.3309965133667,-1.37010824680328,-1.41218447685242
Chad,TCD,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.72,3.68,3.95,4.1,4.09,3.99,4.11,4.17,..,..,3.94,3.97,3.93,3.91,4.39
Chad,TCD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Forest area (% of land area),AG.LND.FRST.ZS,3.98506988564168,3.88341804320203,3.78732528589581,3.69361499364676,3.60149301143583,3.51175349428208,3.42519059720457,3.33650992693774,..,..,4.39167725540025,4.29002541296061,4.18837357052097,4.08672172808132,4.45703621346887
Chad,TCD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.9,3.5,5.8,7.4,8,8.364171285,11.66019198,17.8688792,..,..,1.7,1.9,2.1,2.5,1.5
Chad,TCD,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC,3.17180848011473,3.28674330214535,3.37378797382369,3.38624270940967,3.45521010868221,3.47935743125788,3.57104179762676,..,..,..,3.07502022366718,3.10814403546757,3.14118814282128,3.15693642075527,3.06856188622813
Chad,TCD,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC,1.45016216394593,1.51224257889204,1.5787326789599,1.56108779571684,1.60789656060768,1.60182588297069,1.66567072367356,..,..,..,1.40487220093408,1.42764417226226,1.4523943171357,1.44401657183005,1.35921615347359
Chad,TCD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,42.3,..,..,..,..,..,..,..,..,..,..
Chad,TCD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.06063308684731,2.03205751175684,2.02760511588591,2.0271367591054,2.02978234719989,2.0349707128465,2.03263783372745,..,..,..,2.2303075976439,2.18580443856926,2.14381038950816,2.10448221204483,2.27877160031621
Chad,TCD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,14.8936170212766,14.8936170212766,14.8936170212766,12.7659574468085,15.2542372881356,14.8809523809524,15.4320987654321,32.258064516129,25.8883248730964,..,5.16129032258065,12.7659574468085,14.8936170212766,14.8936170212766,5.16129032258065
Chad,TCD,Population density (people per sq. km of land area),EN.POP.DNST,10.8776413595934,11.2295695679797,11.5887746188056,11.9805304955527,12.3921616899619,12.8072315756036,13.2184728398983,13.643376747141,..,..,9.44625714739517,9.78218710292249,10.1293726175349,10.4961610546379,9.12970775095299
